day,IPON2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.01471
156,0.01471
157,0.01471
158,0.01471
159,0.01471
160,0.01471
161,0.01471
162,0.01471
163,0.01471
164,0.01471
165,0.01471
166,0.01471
167,0.01471
168,0.01471
169,0.01471
170,0.01471
171,0.01471
172,0.01471
173,0.01471
174,0.01471
175,0.01471
176,0.01471
177,0.01471
178,0.01471
179,0.01471
180,0.01471
181,0.01471
182,0.01471
183,0.01471
184,0.01471
185,0.01471
186,0.01471
187,0.01471
188,0.01471
189,0.01471
190,0.01471
191,0.01471
192,0.01471
193,0.01471
194,0.01471
195,0.01471
196,0.01471
197,0.01471
198,0.01471
199,0.01471
200,0.01471
201,0.01471
202,0.01471
203,0.01471
204,0.01471
205,0.01471
206,0.01471
207,0.01471
208,0.01471
209,0.01471
210,0.01471
211,0.01471
212,0.01471
213,0.01471
214,0.01471
215,0.01471
216,0.01471
217,0.01471
218,0.01471
219,0.01471
220,0.01471
221,0.01471
222,0.01471
223,0.01471
224,0.01471
225,0.01471
226,0.01471
227,0.01471
228,0.01471
229,0.01471
230,0.01471
231,0.01471
232,0.01471
233,0.01471
234,0.01471
235,0.01471
236,0.01471
237,0.01471
238,0.01471
239,0.01471
240,0.01471
241,0.01471
242,0.01471
243,0.01471
244,0.01471
245,0.01471
246,0.01471
247,0.01471
248,0.01471
249,0.01471
250,0.01471
251,0.01471
252,0.01471
253,0.01471
254,0.01471
255,0.01471
256,0.01471
257,0.01471
258,0.01471
259,0.01471
260,0.01471
261,0.01471
262,0.01471
263,0.01471
264,0.01471
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
