day,nominal,S_2_RCP_8.5,S5_4.0
1,0,0,0
2,0,0,0
3,0,0,0
4,0.001130253,0.001130253,0.001130253
5,0,0,0
6,0.007680456,0.007680456,0.007680456
7,0.006062471,0.006062471,0.006062471
8,0.000910255,0.000910255,0.000910255
9,0,0,0
10,0.00049616,0.00049616,0.00049616
11,0.011034498,0.011034498,0.011034498
12,0.000445367,0.000445367,0.000445367
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0.000173025,0.000173025,0.000173025
24,0,0,0
25,0.000272212,0.000272212,0.000272212
26,0,0,0
27,0.000380917,0.000380917,0.000380917
28,0.00028228,0.00028228,0.00028228
29,0.000771031,0.000771031,0.000771031
30,0.000219957,0.000219957,0.000219957
31,0,0,0
32,0,0,0
33,0,0,0
34,0.000571375,0.000571375,0.000571375
35,0,0,0
36,0,0,0
37,0.000499558,0.000499558,0.000499558
38,0,0,0
39,0,0,0
40,0.000940933,0.000940933,0.000940933
41,0.001336086,0.001336086,0.001336086
42,0.000166906,0.000166906,0.000166906
43,0.016180975,0.016180975,0.016180975
44,0.008799215,0.008799215,0.008799215
45,0.016067506,0.016067506,0.016067506
46,0.043487261,0.043487261,0.043487261
47,0.014507212,0.014507212,0.014507212
48,0.032665431,0.032665431,0.032665431
49,0.076328081,0.076328081,0.076328081
50,0.0443667,0.0443667,0.0443667
51,0.096583456,0.096583456,0.096583456
52,0.096826776,0.096826776,0.096826776
53,0.083724629,0.083724629,0.083724629
54,0.140645849,0.140645849,0.140645849
55,0.168720186,0.168720186,0.168720186
56,0.155190473,0.155190473,0.155190473
57,0.240360347,0.240360347,0.240360347
58,0.273837321,0.273837321,0.273837321
59,0.337588369,0.337588369,0.337588369
60,0.238058455,0.238058455,0.238058455
61,0.287184791,0.287184791,0.287184791
62,0.365473165,0.365473165,0.365473165
63,0.376614323,0.376614323,0.376614323
64,0.462017899,0.462017899,0.462017899
65,0.446052837,0.446052837,0.446052837
66,0.421799131,0.421799131,0.421799131
67,0.542846378,0.542846378,0.542846378
