day,nominal,S_2_RCP_8.5,S5_4.0
1,-3.642541667,-3.642541667,-3.642541667
2,-3.417041667,-3.417041667,-3.417041667
3,-3.254583333,-3.254583333,-3.254583333
4,-3.275041667,-3.275041667,-3.275041667
5,-3.409958333,-3.409958333,-3.409958333
6,-3.320916667,-3.320916667,-3.320916667
7,-2.968458333,-2.968458333,-2.968458333
8,-2.758083333,-2.758083333,-2.758083333
9,-2.7705,-2.7705,-2.7705
10,-2.812041667,-2.812041667,-2.812041667
11,-2.755125,-2.755125,-2.755125
12,-2.721916667,-2.721916667,-2.721916667
13,-2.834208333,-2.834208333,-2.834208333
14,-3.070791667,-3.070791667,-3.070791667
15,-3.352166667,-3.352166667,-3.352166667
16,-3.537708333,-3.537708333,-3.537708333
17,-3.518708333,-3.518708333,-3.518708333
18,-3.635041667,-3.635041667,-3.635041667
19,-3.926708333,-3.926708333,-3.926708333
20,-4.093083333,-4.093083333,-4.093083333
21,-4.020791667,-4.020791667,-4.020791667
22,-4.01375,-4.01375,-4.01375
23,-4.169208333,-4.169208333,-4.169208333
24,-4.370958333,-4.370958333,-4.370958333
25,-4.611,-4.611,-4.611
26,-4.779958333,-4.779958333,-4.779958333
27,-4.958458333,-4.958458333,-4.958458333
28,-5.11475,-5.11475,-5.11475
29,-5.117583333,-5.117583333,-5.117583333
30,-5.195916667,-5.195916667,-5.195916667
31,-5.335875,-5.335875,-5.335875
32,-5.502833333,-5.502833333,-5.502833333
33,-5.653708333,-5.653708333,-5.653708333
34,-5.842666667,-5.842666667,-5.842666667
35,-5.964416667,-5.964416667,-5.964416667
36,-5.927041667,-5.927041667,-5.927041667
37,-5.907708333,-5.907708333,-5.907708333
38,-5.900166667,-5.900166667,-5.900166667
39,-5.737958333,-5.737958333,-5.737958333
40,-5.340333333,-5.340333333,-5.340333333
41,-5.040041667,-5.040041667,-5.040041667
42,-4.849583333,-4.849583333,-4.849583333
43,-4.720958333,-4.720958333,-4.720958333
44,-4.590083333,-4.590083333,-4.590083333
45,-4.433833333,-4.433833333,-4.433833333
46,-4.298833333,-4.298833333,-4.298833333
47,-4.286083333,-4.286083333,-4.286083333
48,-4.435458333,-4.435458333,-4.435458333
49,-4.52825,-4.52825,-4.52825
50,-4.584833333,-4.584833333,-4.584833333
51,-4.637208333,-4.637208333,-4.637208333
52,-4.682458333,-4.682458333,-4.682458333
53,-4.863541667,-4.863541667,-4.863541667
54,-5.0855,-5.0855,-5.0855
55,-5.303,-5.303,-5.303
56,-5.579166667,-5.579166667,-5.579166667
57,-5.799166667,-5.799166667,-5.799166667
58,-5.955916667,-5.955916667,-5.955916667
59,-6.084583333,-6.084583333,-6.084583333
60,-6.193083333,-6.193083333,-6.193083333
61,-6.217666667,-6.217666667,-6.217666667
62,-6.16825,-6.16825,-6.16825
63,-6.168625,-6.168625,-6.168625
64,-6.180875,-6.180875,-6.180875
65,-6.203875,-6.203875,-6.203875
66,-6.287416667,-6.287416667,-6.287416667
67,-6.419166667,-6.419166667,-6.419166667
68,-6.617083333,-6.617083333,-6.617083333
69,-6.730583333,-6.730583333,-6.730583333
70,-6.820791667,-6.820791667,-6.820791667
71,-6.917458333,-6.917458333,-6.917458333
72,-6.990875,-6.990875,-6.990875
73,-7.017333333,-7.017333333,-7.017333333
74,-7.046333333,-7.046333333,-7.046333333
75,-7.115958333,-7.115958333,-7.115958333
76,-7.182166667,-7.182166667,-7.182166667
77,-7.163083333,-7.163083333,-7.163083333
78,-7.113,-7.113,-7.113
79,-7.058958333,-7.058958333,-7.058958333
80,-7.101625,-7.101625,-7.101625
81,-7.179541667,-7.179541667,-7.179541667
82,-7.094666667,-7.094666667,-7.094666667
83,-6.95975,-6.95975,-6.95975
84,-6.964125,-6.964125,-6.964125
85,-7.164916667,-7.164916667,-7.164916667
86,-7.3395,-7.3395,-7.3395
87,-7.368375,-7.368375,-7.368375
88,-7.180458333,-7.180458333,-7.180458333
89,-7.082916667,-7.082916667,-7.082916667
90,-7.095541667,-7.095541667,-7.095541667
91,-7.142,-7.142,-7.142
92,-7.228041667,-7.228041667,-7.228041667
93,-7.327625,-7.327625,-7.327625
94,-7.394666667,-7.394666667,-7.394666667
95,-7.421708333,-7.421708333,-7.421708333
96,-7.341625,-7.341625,-7.341625
97,-7.2975,-7.2975,-7.2975
98,-7.354458333,-7.354458333,-7.354458333
99,-7.467708333,-7.467708333,-7.467708333
100,-7.6045,-7.6045,-7.6045
101,-7.737625,-7.737625,-7.737625
102,-7.788625,-7.788625,-7.788625
103,-7.762541667,-7.762541667,-7.762541667
104,-7.670083333,-7.670083333,-7.670083333
105,-7.598333333,-7.598333333,-7.598333333
106,-7.515666667,-7.515666667,-7.515666667
107,-7.478625,-7.478625,-7.478625
108,-7.451208333,-7.451208333,-7.451208333
109,-7.450083333,-7.450083333,-7.450083333
110,-7.488916667,-7.488916667,-7.488916667
111,-7.4315,-7.4315,-7.4315
112,-7.250125,-7.250125,-7.250125
113,-6.887875,-6.887875,-6.887875
114,-6.499416667,-6.499416667,-6.499416667
115,-6.142875,-6.142875,-6.142875
116,-5.862083333,-5.862083333,-5.862083333
117,-5.71425,-5.71425,-5.71425
118,-5.681666667,-5.681666667,-5.681666667
119,-5.687208333,-5.687208333,-5.687208333
120,-5.684166667,-5.684166667,-5.684166667
121,-5.627541667,-5.627541667,-5.627541667
122,-5.564208333,-5.564208333,-5.564208333
123,-5.544458333,-5.544458333,-5.544458333
124,-5.50175,-5.50175,-5.50175
125,-5.398041667,-5.398041667,-5.398041667
126,-5.300083333,-5.300083333,-5.300083333
127,-5.273166667,-5.273166667,-5.273166667
128,-5.255166667,-5.255166667,-5.255166667
129,-5.218541667,-5.218541667,-5.218541667
130,-5.133041667,-5.133041667,-5.133041667
131,-4.988833333,-4.988833333,-4.988833333
132,-4.85375,-4.85375,-4.85375
133,-4.748,-4.748,-4.748
134,-4.657208333,-4.657208333,-4.657208333
135,-4.576375,-4.576375,-4.576375
136,-4.500125,-4.500125,-4.500125
137,-4.422541667,-4.422541667,-4.422541667
138,-4.353333333,-4.353333333,-4.353333333
