day,ICS2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.1043
156,0.1043
157,0.1043
158,0.1043
159,0.1043
160,0.1043
161,0.1043
162,0.1043
163,0.1043
164,0.1043
165,0.1043
166,0.1043
167,0.1043
168,0.1043
169,0.1043
170,0.1043
171,0.1043
172,0.1043
173,0.1043
174,0.1043
175,0.1043
176,0.1043
177,0.1043
178,0.1043
179,0.1043
180,0.1043
181,0.1043
182,0.1043
183,0.1043
184,0.1043
185,0.1043
186,0.1043
187,0.1043
188,0.1043
189,0.1043
190,0.1043
191,0.1043
192,0.1043
193,0.1043
194,0.1043
195,0.1043
196,0.1043
197,0.1043
198,0.1043
199,0.1043
200,0.1043
201,0.1043
202,0.1043
203,0.1043
204,0.1043
205,0.1043
206,0.1043
207,0.1043
208,0.1043
209,0.1043
210,0.1043
211,0.1043
212,0.1043
213,0.1043
214,0.1043
215,0.1043
216,0.1043
217,0.1043
218,0.1043
219,0.1043
220,0.1043
221,0.1043
222,0.1043
223,0.1043
224,0.1043
225,0.1043
226,0.1043
227,0.1043
228,0.1043
229,0.1043
230,0.1043
231,0.1043
232,0.1043
233,0.1043
234,0.1043
235,0.1043
236,0.1043
237,0.1043
238,0.1043
239,0.1043
240,0.1043
241,0.1043
242,0.1043
243,0.1043
244,0.1043
245,0.1043
246,0.1043
247,0.1043
248,0.1043
249,0.1043
250,0.1043
251,0.1043
252,0.1043
253,0.1043
254,0.1043
255,0.1043
256,0.1043
257,0.1043
258,0.1043
259,0.1043
260,0.1043
261,0.1043
262,0.1043
263,0.1043
264,0.1043
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
