day,IPON1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.0063
156,0.0063
157,0.0063
158,0.0063
159,0.0063
160,0.0063
161,0.0063
162,0.0063
163,0.0063
164,0.0063
165,0.0063
166,0.0063
167,0.0063
168,0.0063
169,0.0063
170,0.0063
171,0.0063
172,0.0063
173,0.0063
174,0.0063
175,0.0063
176,0.0063
177,0.0063
178,0.0063
179,0.0063
180,0.0063
181,0.0063
182,0.0063
183,0.0063
184,0.0063
185,0.0063
186,0.0063
187,0.0063
188,0.0063
189,0.0063
190,0.0063
191,0.0063
192,0.0063
193,0.0063
194,0.0063
195,0.0063
196,0.0063
197,0.0063
198,0.0063
199,0.0063
200,0.0063
201,0.0063
202,0.0063
203,0.0063
204,0.0063
205,0.0063
206,0.0063
207,0.0063
208,0.0063
209,0.0063
210,0.0063
211,0.0063
212,0.0063
213,0.0063
214,0.0063
215,0.0063
216,0.0063
217,0.0063
218,0.0063
219,0.0063
220,0.0063
221,0.0063
222,0.0063
223,0.0063
224,0.0063
225,0.0063
226,0.0063
227,0.0063
228,0.0063
229,0.0063
230,0.0063
231,0.0063
232,0.0063
233,0.0063
234,0.0063
235,0.0063
236,0.0063
237,0.0063
238,0.0063
239,0.0063
240,0.0063
241,0.0063
242,0.0063
243,0.0063
244,0.0063
245,0.0063
246,0.0063
247,0.0063
248,0.0063
249,0.0063
250,0.0063
251,0.0063
252,0.0063
253,0.0063
254,0.0063
255,0.0063
256,0.0063
257,0.0063
258,0.0063
259,0.0063
260,0.0063
261,0.0063
262,0.0063
263,0.0063
264,0.0063
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
