day,snow
1,0.154
2,0.154
3,0.154
4,0.158
5,0.156
6,0.156
7,0.16
8,0.138
9,0.15
10,0.154
11,0.162
12,0.172
13,0.17
14,0.19
15,0.23
16,0.274
17,0.246
18,0.24
19,0.276
20,0.308
21,0.248
22,0.264
23,0.262
24,0.304
25,0.302
26,0.29
27,0.246
28,0.248
29,0.244
30,0.222
31,0.228
32,0.234
33,0.238
34,0.246
35,0.242
36,0.248
37,0.238
38,0.25
39,0.248
40,0.248
41,0.278
42,0.268
43,0.274
44,0.272
45,0.276
46,0.28
47,0.288
48,0.302
49,0.298
50,0.31
51,0.312
52,0.358
53,0.342
54,0.338
55,0.338
56,0.344
57,0.342
58,0.33
59,0.332
60,0.342
61,0.336
62,0.382
63,0.368
64,0.35
65,0.376
66,0.406
67,0.39
68,0.39
69,0.372
70,0.368
71,0.38
72,0.368
73,0.372
74,0.358
75,0.366
76,0.372
77,0.382
78,0.388
79,0.39
80,0.382
81,0.386
82,0.416
83,0.406
84,0.406
85,0.404
86,0.404
87,0.402
88,0.404
89,0.426
90,0.422
91,0.418
92,0.418
93,0.412
94,0.414
95,0.398
96,0.388
97,0.39
98,0.378
99,0.374
100,0.384
101,0.446
102,0.432
103,0.442
104,0.44
105,0.432
106,0.436
107,0.432
108,0.43
109,0.43
110,0.41
111,0.422
112,0.43
113,0.426
114,0.42
115,0.434
116,0.422
117,0.428
118,0.44
119,0.428
120,0.428
121,0.418
122,0.41
123,0.416
124,0.402
125,0.398
126,0.394
127,0.396
128,0.384
129,0.378
130,0.37
131,0.36
132,0.35
133,0.35
134,0.346
135,0.342
136,0.336
137,0.332
138,0.326
139,0.314
140,0.318
141,0.312
142,0.294
143,0.292
144,0.294
145,0.288
146,0.284
147,0.292
148,0.306
149,0.296
150,0.282
151,0.268
152,0.24
153,0.224
154,0.218
155,0.184
156,0.182
157,0.17
158,0.166
159,0.152
160,0.148
161,0.12
162,0.116
163,0.102
164,0.066
165,0.042
166,0.036
167,0.02
168,0.018
169,0.016
170,0.016
171,0.01
172,0.01
173,0.004
174,0.004
175,0.004
176,0.004
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0.008
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0.004
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0.004
270,0.01
271,0.014
272,0.018
273,0.02
274,0.018
275,0.018
276,0.052
277,0.052
278,0.052
279,0.046
280,0.044
281,0.044
282,0.05
283,0.046
284,0.044
285,0.038
286,0.038
287,0.038
288,0.048
289,0.058
290,0.068
291,0.058
292,0.054
293,0.05
294,0.072
295,0.088
296,0.11
297,0.098
298,0.112
299,0.104
300,0.134
301,0.14
302,0.122
303,0.118
304,0.12
305,0.106
306,0.072
307,0.054
308,0.054
309,0.12
310,0.168
311,0.15
312,0.128
313,0.124
314,0.146
315,0.146
316,0.144
317,0.136
318,0.132
319,0.118
320,0.13
321,0.106
322,0.116
323,0.126
324,0.12
325,0.14
326,0.126
327,0.122
328,0.118
329,0.106
330,0.118
331,0.12
332,0.108
333,0.124
334,0.126
335,0.106
336,0.098
337,0.106
338,0.116
339,0.116
340,0.13
341,0.148
342,0.154
343,0.134
344,0.154
345,0.132
346,0.126
347,0.122
348,0.134
349,0.142
350,0.136
351,0.122
352,0.16
353,0.188
354,0.154
355,0.188
356,0.17
357,0.174
358,0.17
359,0.162
360,0.158
361,0.156
362,0.164
363,0.16
364,0.164
365,0.112
