day,nominal,S_2_RCP_8.5,S5_4.0
1,0.154,0.154,0.154
2,0.154,0.154,0.154
3,0.154,0.154,0.154
4,0.158,0.158,0.158
5,0.156,0.156,0.156
6,0.156,0.156,0.156
7,0.16,0.16,0.16
8,0.138,0.138,0.138
9,0.15,0.15,0.15
10,0.154,0.154,0.154
11,0.162,0.162,0.162
12,0.172,0.172,0.172
13,0.17,0.17,0.17
14,0.19,0.19,0.19
15,0.23,0.23,0.23
16,0.274,0.274,0.274
17,0.246,0.246,0.246
18,0.24,0.24,0.24
19,0.276,0.276,0.276
20,0.308,0.308,0.308
21,0.248,0.248,0.248
22,0.264,0.264,0.264
23,0.262,0.262,0.262
24,0.304,0.304,0.304
25,0.302,0.302,0.302
26,0.29,0.29,0.29
27,0.246,0.246,0.246
28,0.248,0.248,0.248
29,0.244,0.244,0.244
30,0.222,0.222,0.222
31,0.228,0.228,0.228
32,0.234,0.234,0.234
33,0.238,0.238,0.238
34,0.246,0.246,0.246
35,0.242,0.242,0.242
36,0.248,0.248,0.248
37,0.238,0.238,0.238
38,0.25,0.25,0.25
39,0.248,0.248,0.248
40,0.248,0.248,0.248
41,0.278,0.278,0.278
42,0.268,0.268,0.268
43,0.274,0.274,0.274
44,0.272,0.272,0.272
45,0.276,0.276,0.276
46,0.28,0.28,0.28
47,0.288,0.288,0.288
48,0.302,0.302,0.302
49,0.298,0.298,0.298
50,0.31,0.31,0.31
51,0.312,0.312,0.312
52,0.358,0.358,0.358
53,0.342,0.342,0.342
54,0.338,0.338,0.338
55,0.338,0.338,0.338
56,0.344,0.344,0.344
57,0.342,0.342,0.342
58,0.33,0.33,0.33
59,0.332,0.332,0.332
60,0.342,0.342,0.342
61,0.336,0.336,0.336
62,0.382,0.382,0.382
63,0.368,0.368,0.368
64,0.35,0.35,0.35
65,0.376,0.376,0.376
66,0.406,0.406,0.406
67,0.39,0.39,0.39
68,0.39,0.39,0.39
69,0.372,0.372,0.372
70,0.368,0.368,0.368
71,0.38,0.38,0.38
72,0.368,0.368,0.368
73,0.372,0.372,0.372
74,0.358,0.358,0.358
75,0.366,0.366,0.366
76,0.372,0.372,0.372
77,0.382,0.382,0.382
78,0.388,0.388,0.388
79,0.39,0.39,0.39
80,0.382,0.382,0.382
81,0.386,0.386,0.386
82,0.416,0.416,0.416
83,0.406,0.406,0.406
84,0.406,0.406,0.406
85,0.404,0.404,0.404
86,0.404,0.404,0.404
87,0.402,0.402,0.402
88,0.404,0.404,0.404
89,0.426,0.426,0.426
90,0.422,0.422,0.422
91,0.418,0.418,0.418
92,0.418,0.418,0.418
93,0.412,0.412,0.412
94,0.414,0.414,0.414
95,0.398,0.398,0.398
96,0.388,0.388,0.388
97,0.39,0.39,0.39
98,0.378,0.378,0.378
99,0.374,0.374,0.374
100,0.384,0.384,0.384
101,0.446,0.446,0.446
102,0.432,0.432,0.432
103,0.442,0.442,0.442
104,0.44,0.44,0.44
105,0.432,0.432,0.432
106,0.436,0.436,0.436
107,0.432,0.432,0.432
108,0.43,0.43,0.43
109,0.43,0.43,0.43
110,0.41,0.41,0.41
111,0.422,0.422,0.422
112,0.43,0.43,0.43
113,0.426,0.426,0.426
114,0.42,0.42,0.42
115,0.434,0.434,0.434
116,0.422,0.422,0.422
117,0.428,0.428,0.428
118,0.44,0.44,0.44
119,0.428,0.428,0.428
120,0.428,0.428,0.428
121,0.418,0.418,0.418
122,0.41,0.41,0.41
123,0.416,0.416,0.416
124,0.402,0.402,0.402
125,0.398,0.398,0.398
126,0.394,0.394,0.394
127,0.396,0.396,0.396
128,0.384,0.384,0.384
129,0.378,0.378,0.378
130,0.37,0.37,0.37
131,0.36,0.36,0.36
132,0.35,0.35,0.35
133,0.35,0.35,0.35
134,0.346,0.346,0.346
135,0.342,0.342,0.342
136,0.336,0.336,0.336
137,0.332,0.332,0.332
138,0.326,0.326,0.326
139,0.314,0.314,0.314
140,0.318,0.318,0.318
141,0.312,0.312,0.312
142,0.294,0.294,0.294
143,0.292,0.292,0.292
144,0.294,0.294,0.294
145,0.288,0.288,0.288
146,0.284,0.284,0.284
147,0.292,0.292,0.292
148,0.306,0.306,0.306
149,0.296,0.296,0.296
150,0.282,0.282,0.282
151,0.268,0.268,0.268
152,0.24,0.24,0.24
153,0.224,0.224,0.224
